,pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,gaia_dist,gaia_disterr1,gaia_disterr2,gaia_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim,rowupdate,pl_cbflag,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_facility,st_age,st_ageerr1,st_ageerr2,st_agelim,st_j,st_jerr,st_jlim,st_k,st_kerr,st_klim,pl_rade,TSM,good_TSM,ESM,webb approved,HST approved,chen_kipping,hst approved
0,11 Com,b,11 Com b,Radial Velocity,0,1,326.03,0.32,-0.32,0.0,1.29,0.05,-0.05,0.0,0.231,0.005,-0.005,0.0,,,,,19.4,1.5,-1.5,0.0,Msini,,,,,,,,,0,0,0,0,12h20m43.03s,185.179276,+17d47m34.3s,17.792868,93.37,1.92,-1.92,0.0,93.37,1.92,-1.92,0.0,4.74,,0.0,V (Johnson),4.372,,0.0,4742.0,100.0,-100.0,0.0,2.7,0.3,-0.3,0.0,19.0,2.0,-2.0,0.0,2014-05-14,0,,,,,Xinglong Station,,,,,2.943,0.33399999999999996,0.0,2.282,0.34600000000000003,0.0,,,False,,False,,,False
1,11 UMi,b,11 UMi b,Radial Velocity,0,1,516.21997,3.2,-3.2,0.0,1.53,0.07,-0.07,0.0,0.08,0.03,-0.03,0.0,,,,0.0,14.74,2.5,-2.5,0.0,Msini,,,,0.0,,,,0.0,0,0,0,0,15h17m05.89s,229.27453599999998,+71d49m26.0s,71.823898,125.72,1.97,-1.97,0.0,125.72,1.97,-1.97,0.0,5.016,0.009000000000000001,0.0,V (Johnson),4.5,,0.0,4213.0,46.0,-46.0,0.0,2.78,0.69,-0.69,0.0,29.79,2.84,-2.84,0.0,2018-09-06,0,,,,0.0,Thueringer Landessternwarte Tautenburg,,,,0.0,2.8760000000000003,0.23,0.0,1.939,0.27,0.0,,,False,,False,,,True
2,14 And,b,14 And b,Radial Velocity,0,1,185.84,0.23,-0.23,0.0,0.83,,,0.0,0.0,,,0.0,,,,,4.8,,,0.0,Msini,,,,,,,,,0,0,0,0,23h31m17.42s,352.822571,+39d14m10.3s,39.236198,75.59,0.71,-0.71,0.0,75.59,0.71,-0.71,0.0,5.227,0.009000000000000001,0.0,V (Johnson),4.872,,0.0,4813.0,20.0,-20.0,0.0,2.2,0.1,-0.2,0.0,11.0,1.0,-1.0,0.0,2014-05-14,0,,,,,Okayama Astrophysical Observatory,,,,,3.0189999999999997,0.18,0.0,2.331,0.24,0.0,,,False,,False,,,False
3,14 Her,b,14 Her b,Radial Velocity,0,1,1773.40002,2.5,-2.5,0.0,2.93,0.08,-0.08,0.0,0.37,0.0,0.0,0.0,,,,0.0,4.66,0.15,-0.15,0.0,Msini,,,,0.0,,,,0.0,0,0,0,0,16h10m24.31s,242.60130299999997,+43d49m03.5s,43.817646,17.94,0.01,-0.01,0.0,17.94,0.01,-0.01,0.0,6.61,0.02,0.0,V (Johnson),6.379,,0.0,5338.0,25.0,-25.0,0.0,0.9,0.04,-0.04,0.0,0.93,0.01,-0.01,0.0,2018-09-06,0,,,,0.0,W. M. Keck Observatory,,,,0.0,5.1579999999999995,0.028999999999999998,0.0,4.7139999999999995,0.016,0.0,,,False,,False,,,True
4,16 Cyg B,b,16 Cyg B b,Radial Velocity,0,1,798.5,1.0,-1.0,0.0,1.66,0.03,-0.03,0.0,0.68,0.02,-0.02,0.0,,,,0.0,1.78,0.08,-0.08,0.0,Msini,,,,0.0,,,,0.0,0,0,0,0,19h41m51.97s,295.466553,+50d31m03.1s,50.517525,21.15,0.01,-0.01,0.0,21.15,0.01,-0.01,0.0,6.25,,0.0,V (Johnson),6.057,,0.0,5750.0,8.0,-8.0,0.0,1.08,0.04,-0.04,0.0,1.13,0.01,-0.01,0.0,2018-09-06,0,,,,0.0,Multiple Observatories,,,,0.0,4.993,0.037000000000000005,0.0,4.651,0.016,0.0,,,False,,False,,,True
5,18 Del,b,18 Del b,Radial Velocity,0,1,993.3,3.2,-3.2,0.0,2.6,,,0.0,0.08,0.01,-0.01,0.0,,,,,10.3,,,0.0,Msini,,,,,,,,,0,0,0,0,20h58m25.94s,314.608063,+10d50m21.4s,10.839286,76.38,0.62,-0.62,0.0,76.38,0.62,-0.62,0.0,5.506,0.009000000000000001,0.0,V (Johnson),5.244,,0.0,4979.0,18.0,-18.0,0.0,2.3,,,0.0,8.5,,,0.0,2014-05-14,0,,,,,Okayama Astrophysical Observatory,,,,,4.032,0.23600000000000002,0.0,3.366,0.204,0.0,,,False,,False,,,False
6,1RXS J160929.1-210524,b,1RXS J160929.1-210524 b,Imaging,0,1,,,,,330.0,,,0.0,,,,,,,,,8.0,1.0,-1.0,0.0,Mass,,,,,,,,,0,0,0,0,16h09m30.30s,242.376268,-21d04m58.9s,-21.083036,145.0,14.0,-14.0,0.0,139.67,1.32,-1.32,0.0,,,,,12.057,,0.0,4060.0,300.0,-200.0,0.0,0.85,0.2,-0.1,0.0,,,,,2015-04-01,0,1700.0,100.0,-100.0,0.0,Gemini Observatory,0.005,,,,9.82,0.027000000000000003,0.0,8.916,0.021,0.0,,,False,,False,,,True
7,24 Boo,b,24 Boo b,Radial Velocity,0,1,30.3506,0.0078,-0.0077,0.0,0.19,0.012,-0.009,0.0,0.042,0.048,-0.029,0.0,,,,0.0,0.91,0.13,-0.1,0.0,Msini,,,,0.0,,,,0.0,0,0,0,0,14h28m37.81s,217.15754700000002,+49d50m41.5s,49.844852,96.25,0.64,-0.64,0.0,96.25,0.64,-0.64,0.0,5.58,,0.0,V (Johnson),5.305,,0.0,4893.0,15.0,-15.0,0.0,0.99,0.19,-0.13,0.0,10.64,0.84,-0.59,0.0,2018-04-26,0,,,,0.0,Okayama Astrophysical Observatory,6.92,4.83,-2.75,0.0,3.845,0.24,0.0,3.159,0.28,0.0,,,False,,False,,,False
8,24 Sex,b,24 Sex b,Radial Velocity,0,2,452.8,2.1,-4.5,0.0,1.333,0.004,-0.009,0.0,0.09,0.14,-0.06,0.0,,,,,1.99,0.26,-0.38,0.0,Msini,,,,,,,,,0,0,0,0,10h23m28.37s,155.86821,-00d54m08.1s,-0.902244,72.21,0.68,-0.68,0.0,72.21,0.68,-0.68,0.0,6.441,0.01,0.0,V (Johnson),6.1979999999999995,,0.0,5098.0,44.0,-44.0,0.0,1.54,0.08,-0.08,0.0,4.9,0.08,-0.08,0.0,2014-05-14,0,,,,,Lick Observatory,2.7,0.4,-0.4,,5.292000000000001,0.33799999999999997,0.0,4.285,0.016,0.0,,,False,,False,,,False
9,24 Sex,c,24 Sex c,Radial Velocity,0,2,883.0,32.4,-13.8,0.0,2.08,0.05,-0.02,0.0,0.29,0.16,-0.09,0.0,,,,,0.86,0.35,-0.22,0.0,Msini,,,,,,,,,0,0,0,0,10h23m28.37s,155.86821,-00d54m08.1s,-0.902244,72.21,0.68,-0.68,0.0,72.21,0.68,-0.68,0.0,6.441,0.01,0.0,V (Johnson),6.1979999999999995,,0.0,5098.0,44.0,-44.0,0.0,1.54,0.08,-0.08,0.0,4.9,0.08,-0.08,0.0,2014-05-14,0,,,,,Lick Observatory,2.7,0.4,-0.4,,5.292000000000001,0.33799999999999997,0.0,4.285,0.016,0.0,,,False,,False,,,False
10,2MASS J01225093-2439505,b,2MASS J01225093-2439505 b,Imaging,0,1,,,,,52.0,6.0,-6.0,0.0,,,,,,,,,24.5,2.5,-2.5,0.0,Mass,,,,,,,,,0,0,0,0,01h22m50.94s,20.712243,-24d39m50.6s,-24.664049,36.0,4.0,-4.0,0.0,33.86,0.09,-0.09,0.0,14.24,0.07,0.0,V (Johnson),12.902999999999999,,0.0,3530.0,50.0,-50.0,0.0,0.4,0.05,-0.05,0.0,,,,,2014-05-14,0,,,,,W. M. Keck Observatory,0.12,0.01,-0.01,,10.084,0.026000000000000002,0.0,9.198,0.024,0.0,,,False,,False,,,True
11,2MASS J02192210-3925225,b,2MASS J02192210-3925225 b,Imaging,0,1,,,,,156.0,10.0,-10.0,0.0,,,,,,,,,13.9,1.1,-1.1,0.0,Mass,1.44,0.03,-0.03,0.0,,,,,0,0,0,0,02h19m22.11s,34.842106,-39d25m22.5s,-39.422928000000006,39.4,2.6,-2.6,0.0,40.09,0.19,-0.19,0.0,,,,,15.012,,0.0,3064.0,76.0,-76.0,0.0,0.11,0.01,-0.01,0.0,0.28,0.01,-0.01,0.0,2015-05-14,0,,,,,Cerro Tololo Inter-American Observatory,0.035,0.005,-0.005,,11.380999999999998,0.023,0.0,10.404000000000002,0.023,0.0,16.140837776734102,,False,,False,,,False
12,2MASS J04414489+2301513,b,2MASS J04414489+2301513 b,Imaging,0,1,,,,,15.0,,,0.0,,,,,,,,,7.5,2.5,-2.5,0.0,Mass,,,,,,,,,0,0,0,0,04h41m44.90s,70.437073,+23d01m51.4s,23.030941000000002,140.0,,,0.0,120.42,5.48,-5.48,0.0,,,,,18.967,,0.0,,,,,0.02,,,0.0,,,,,2014-05-14,0,,,,,Hubble Space Telescope,0.001,,,,14.419,0.025,0.0,13.161,0.025,0.0,,,False,,False,,,True
13,2MASS J12073346-3932539,b,2MASS J12073346-3932539 b,Imaging,0,1,,,,,46.0,5.0,-5.0,0.0,,,,,,,,,4.0,1.0,-1.0,0.0,Mass,,,,,,,,,0,0,0,0,12h07m33.47s,181.889447,-39d32m54.0s,-39.548332,64.42,0.65,-0.65,0.0,64.42,0.65,-0.65,0.0,20.15,0.19,0.0,V (Johnson),17.408,,0.0,,,,,0.02,,,0.0,,,,,2014-05-14,0,1150.0,150.0,-150.0,0.0,Paranal Observatory,0.008,0.004,-0.003,,12.995,0.026000000000000002,0.0,11.945,0.026000000000000002,0.0,,,False,,True,,,True
14,2MASS J19383260+4603591,b,2MASS J19383260+4603591 b,Eclipse Timing Variations,0,1,416.0,2.0,-2.0,0.0,0.92,0.02,-0.02,0.0,,,,,,,,,1.9,0.1,-0.1,0.0,Mass,,,,,,,,,0,1,0,0,19h38m32.61s,294.63586499999997,+46d03m59.1s,46.066418,400.77,6.48,-6.48,0.0,400.77,6.48,-6.48,0.0,12.264000000000001,,0.0,Kepler-band,12.138,,0.0,,,,,0.48,0.03,-0.03,0.0,,,,,2015-06-04,1,,,,,Kepler,,,,,12.757,0.022000000000000002,0.0,12.955,0.028999999999999998,0.0,,,False,,False,,,True
15,2MASS J21402931+1625183 A,b,2MASS J21402931+1625183 A b,Imaging,0,1,7336.5,1934.5,-584.0,0.0,,,,,0.26,0.06,-0.06,0.0,46.2,2.5,-8.7,0.0,20.95,83.79,-20.95,0.0,Mass,0.92,0.39,-0.36,0.0,,,,,0,0,0,0,21h40m29.32s,325.122159,+16d25m18.3s,16.421758999999998,25.0,10.0,-10.0,0.0,33.12,0.48,-0.48,0.0,,,,,17.396,,0.0,2300.0,80.0,-80.0,0.0,0.08,0.06,-0.06,0.0,0.12,0.05,-0.04,0.0,2014-05-14,0,2075.0,70.0,-70.0,0.0,W. M. Keck Observatory,,,,,12.94,0.033,0.0,11.825999999999999,0.031,0.0,10.312201912913457,,,,,,,
16,2MASS J22362452+4751425,b,2MASS J22362452+4751425 b,Imaging,0,1,,,,,230.0,20.0,-20.0,0.0,,,,,,,,,12.5,1.5,-1.5,0.0,Mass,,,,,,,,,0,0,0,1,22h36m24.53s,339.102203,+47d51m42.6s,47.86182,74.0,10.0,-10.0,0.0,69.71,0.16,-0.16,0.0,12.51,0.03,0.0,V (Johnson),11.948,,0.0,4045.0,35.0,-35.0,0.0,0.6,0.05,-0.05,0.0,,,,,2016-11-10,0,,,,,W. M. Keck Observatory,0.12,0.01,-0.01,,9.975,0.018000000000000002,0.0,9.148,0.016,0.0,,,False,,True,,,False
17,30 Ari B,b,30 Ari B b,Radial Velocity,0,1,335.10001,2.5,-2.5,0.0,0.99,0.02,-0.02,0.0,0.29,0.09,-0.09,0.0,,,,0.0,13.82,1.8,-1.8,0.0,Msini,,,,0.0,,,,0.0,0,0,0,0,02h36m57.74s,39.240584999999996,+24d38m53.0s,24.648064,44.71,0.1,-0.1,0.0,44.71,0.1,-0.1,0.0,6.962000000000001,0.011000000000000001,0.0,V (Johnson),6.961,,0.0,6331.0,61.0,-61.0,0.0,1.93,0.27,-0.27,0.0,1.41,0.05,-0.05,0.0,2018-09-06,0,,,,0.0,Thueringer Landessternwarte Tautenburg,,,,0.0,6.08,0.02,0.0,5.822,0.021,0.0,,,False,,False,,,False
18,4 UMa,b,4 UMa b,Radial Velocity,0,1,269.3,1.96,-1.96,0.0,0.87,0.04,-0.04,0.0,0.432,0.024,-0.024,0.0,,,,,7.1,1.6,-1.6,0.0,Msini,,,,,,,,,0,0,0,0,08h40m12.82s,130.053406,+64d19m40.6s,64.327934,73.58,1.18,-1.18,0.0,73.58,1.18,-1.18,0.0,4.61,,0.0,V (Johnson),4.16,,0.0,4415.0,70.0,-70.0,0.0,1.23,0.15,-0.15,0.0,18.11,1.47,-1.47,0.0,2014-05-14,0,,,,,Thueringer Landessternwarte Tautenburg,4.604,2.0,-2.0,,2.6189999999999998,0.29,0.0,1.734,0.218,0.0,,,False,,False,,,False
19,42 Dra,b,42 Dra b,Radial Velocity,0,1,479.1,6.2,-6.2,0.0,1.19,0.01,-0.01,0.0,0.38,0.06,-0.06,0.0,,,,,3.88,0.85,-0.85,0.0,Msini,,,,,,,,,0,0,0,0,18h25m59.14s,276.496399,+65d33m48.5s,65.563484,90.86,1.32,-1.32,0.0,90.86,1.32,-1.32,0.0,4.82,,0.0,V (Johnson),4.364,,0.0,4200.0,70.0,-70.0,0.0,0.98,0.05,-0.05,0.0,22.03,1.0,-1.0,0.0,2014-05-14,0,,,,,Thueringer Landessternwarte Tautenburg,9.49,1.76,-1.76,,2.949,0.23399999999999999,0.0,2.085,0.21600000000000003,0.0,,,False,,False,,,False
20,47 UMa,b,47 UMa b,Radial Velocity,0,3,1078.0,2.0,-2.0,0.0,2.1,0.02,-0.02,0.0,0.032,0.014,-0.014,0.0,,,,,2.53,0.07,-0.06,0.0,Msini,,,,,,,,,0,0,0,0,10h59m27.97s,164.86656200000002,+40d25m48.9s,40.430256,13.8,0.03,-0.03,0.0,13.8,0.03,-0.03,0.0,5.05,,0.0,V (Johnson),4.831,,0.0,5892.0,70.0,-70.0,0.0,1.03,0.05,-0.05,0.0,1.23,,,0.0,2014-05-14,0,,,,,Lick Observatory,7.3,1.9,-1.9,,3.96,0.29600000000000004,0.0,3.75,0.34,0.0,,,False,,False,,,True
21,47 UMa,c,47 UMa c,Radial Velocity,0,3,2391.0,100.0,-87.0,0.0,3.6,0.1,-0.1,0.0,0.098,0.047,-0.096,0.0,,,,,0.54,0.066,-0.073,0.0,Msini,,,,,,,,,0,0,0,0,10h59m27.97s,164.86656200000002,+40d25m48.9s,40.430256,13.8,0.03,-0.03,0.0,13.8,0.03,-0.03,0.0,5.05,,0.0,V (Johnson),4.831,,0.0,5892.0,70.0,-70.0,0.0,1.03,0.05,-0.05,0.0,1.23,,,0.0,2014-05-14,0,,,,,Lick Observatory,7.3,1.9,-1.9,,3.96,0.29600000000000004,0.0,3.75,0.34,0.0,,,False,,False,,,True
22,47 UMa,d,47 UMa d,Radial Velocity,0,3,14002.0,4018.0,-5095.0,0.0,11.6,2.1,-2.9,0.0,0.16,0.09,-0.16,0.0,,,,,1.64,0.29,-0.48,0.0,Msini,,,,,,,,,0,0,0,0,10h59m27.97s,164.86656200000002,+40d25m48.9s,40.430256,13.8,0.03,-0.03,0.0,13.8,0.03,-0.03,0.0,5.05,,0.0,V (Johnson),4.831,,0.0,5892.0,70.0,-70.0,0.0,1.03,0.05,-0.05,0.0,1.23,,,0.0,2014-05-14,0,,,,,Lick Observatory,7.3,1.9,-1.9,,3.96,0.29600000000000004,0.0,3.75,0.34,0.0,,,False,,False,,,True
23,51 Eri,b,51 Eri b,Imaging,0,1,11688.0,6209.25,-3287.25,0.0,12.0,4.0,-2.0,0.0,0.45,0.1,-0.15,0.0,133.0,14.0,-7.0,0.0,,,,0.0,,,,,0.0,,,,0.0,0,0,0,1,04h37m36.13s,69.40055100000001,-02d28m24.8s,-2.473548,29.4,0.3,-0.3,0.0,29.78,0.12,-0.12,0.0,5.23,,0.0,V (Johnson),5.122000000000001,,0.0,,,,,1.75,0.05,-0.05,0.0,,,,,2019-07-11,0,,,,0.0,Gemini Observatory,0.02,0.006,-0.006,,4.744,0.037000000000000005,0.0,4.537,0.024,0.0,,,False,,True,,,True
24,51 Peg,b,51 Peg b,Radial Velocity,0,1,4.230785,3.6e-05,-3.6e-05,0.0,0.0527,0.003,-0.003,0.0,0.013,0.012,-0.012,0.0,,,,,0.472,0.039,-0.039,0.0,Msini,,,,,,,,,0,0,0,0,22h57m27.98s,344.366577,+20d46m07.8s,20.768832999999997,15.47,0.03,-0.03,0.0,15.47,0.03,-0.03,0.0,5.5,,0.0,V (Johnson),5.256,,0.0,5793.0,70.0,-70.0,0.0,1.12,0.06,-0.06,0.0,1.2,,,0.0,2014-05-14,0,,,,,Haute-Provence Observatory,4.0,2.5,-2.5,,4.655,0.29600000000000004,0.0,3.911,0.021,0.0,,,False,,False,,,True
25,55 Cnc,b,55 Cnc b,Radial Velocity,0,5,14.65152,0.00015,-0.00015,0.0,0.115227,1e-06,-1e-06,0.0,0.0034,0.0032,-0.0032,0.0,90.0,,,0.0,0.8306,0.0033,-0.0033,0.0,Mass,,,,,,,,,0,0,0,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.59,0.01,-0.01,0.0,12.59,0.01,-0.01,0.0,5.96,0.01,0.0,V (Johnson),5.7139999999999995,,0.0,5196.0,24.0,-24.0,0.0,0.91,0.01,-0.01,0.0,0.94,0.01,-0.01,0.0,2014-10-29,0,,,,,Lick Observatory,10.2,2.5,-2.5,,4.768,0.244,0.0,4.015,0.036000000000000004,0.0,,,False,,False,,,True
26,55 Cnc,c,55 Cnc c,Radial Velocity,0,5,44.4175,0.0073,-0.0073,0.0,0.24137600000000003,2.6000000000000002e-05,-2.6000000000000002e-05,0.0,0.02,0.031,-0.031,0.0,90.0,,,0.0,0.1714,0.0055,-0.0055,0.0,Mass,,,,,,,,,0,0,0,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.59,0.01,-0.01,0.0,12.59,0.01,-0.01,0.0,5.96,0.01,0.0,V (Johnson),5.7139999999999995,,0.0,5196.0,24.0,-24.0,0.0,0.91,0.01,-0.01,0.0,0.94,0.01,-0.01,0.0,2014-10-29,0,,,,,McDonald Observatory,10.2,2.5,-2.5,,4.768,0.244,0.0,4.015,0.036000000000000004,0.0,,,False,,False,,,True
27,55 Cnc,d,55 Cnc d,Radial Velocity,0,5,4825.0,39.0,-39.0,0.0,5.503,0.03,-0.03,0.0,0.019,0.013,-0.013,0.0,90.0,,,0.0,3.878,0.068,-0.068,0.0,Mass,,,,,,,,,0,0,0,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.59,0.01,-0.01,0.0,12.59,0.01,-0.01,0.0,5.96,0.01,0.0,V (Johnson),5.7139999999999995,,0.0,5196.0,24.0,-24.0,0.0,0.91,0.01,-0.01,0.0,0.94,0.01,-0.01,0.0,2014-10-29,0,,,,,Lick Observatory,10.2,2.5,-2.5,,4.768,0.244,0.0,4.015,0.036000000000000004,0.0,,,False,,False,,,True
28,55 Cnc,e,55 Cnc e,Radial Velocity,0,5,0.736539,7e-06,-7e-06,0.0,0.01544,9e-05,-9e-05,0.0,,,,0.0,83.3,0.9,-0.8,0.0,0.025419999999999998,0.00098,-0.00098,0.0,Mass,0.17,0.006999999999999999,-0.006999999999999999,0.0,6.4,0.8,-0.7,0.0,0,0,0,1,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.59,0.01,-0.01,0.0,12.59,0.01,-0.01,0.0,5.96,0.01,0.0,V (Johnson),5.7139999999999995,,0.0,5196.0,24.0,-24.0,0.0,0.91,0.01,-0.01,0.0,0.94,0.01,-0.01,0.0,2019-01-31,0,,,,0.0,McDonald Observatory,10.2,2.5,-2.5,,4.768,0.244,0.0,4.015,0.036000000000000004,0.0,1.905515570864443,265.68423231365125,True,,False,,,True
29,55 Cnc,f,55 Cnc f,Radial Velocity,0,5,262.0,0.51,-0.51,0.0,0.788,0.001,-0.001,0.0,0.305,0.075,-0.075,0.0,90.0,,,0.0,0.141,0.012,-0.012,0.0,Mass,,,,,,,,,0,0,0,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.59,0.01,-0.01,0.0,12.59,0.01,-0.01,0.0,5.96,0.01,0.0,V (Johnson),5.7139999999999995,,0.0,5196.0,24.0,-24.0,0.0,0.91,0.01,-0.01,0.0,0.94,0.01,-0.01,0.0,2014-10-29,0,,,,,Multiple Observatories,10.2,2.5,-2.5,,4.768,0.244,0.0,4.015,0.036000000000000004,0.0,,,False,,False,,,True
30,6 Lyn,b,6 Lyn b,Radial Velocity,0,1,934.3,8.6,-8.6,0.0,2.11,0.11,-0.11,0.0,0.073,0.036,-0.036,0.0,,,,0.0,2.01,0.077,-0.077,0.0,Msini,,,,,,,,0.0,0,0,0,0,06h30m47.11s,97.696281,+58d09m45.5s,58.162631999999995,54.74,0.27,-0.27,0.0,54.74,0.27,-0.27,0.0,5.86,,0.0,V (Johnson),5.587999999999999,,0.0,4938.0,,,0.0,1.44,,,0.0,5.2,,,0.0,2018-12-06,0,,,,0.0,Okayama Astrophysical Observatory,,,,0.0,4.272,0.254,0.0,3.701,0.3,0.0,,,False,,False,,,False
31,61 Vir,b,61 Vir b,Radial Velocity,0,3,4.215,0.0006,-0.0006,0.0,0.050200999999999996,5e-06,-5e-06,0.0,0.12,0.11,-0.11,0.0,,,,,0.016,0.002,-0.002,0.0,Msini,,,,,,,,,0,0,0,0,13h18m24.32s,199.601318,-18d18m40.3s,-18.311195,8.51,0.02,-0.02,0.0,8.51,0.02,-0.02,0.0,4.74,,0.0,V (Johnson),4.477,,0.0,5577.0,33.0,-33.0,0.0,0.94,0.03,-0.03,0.0,0.96,0.01,-0.01,0.0,2014-05-14,0,,,,,Multiple Observatories,8.96,2.76,-3.08,,3.3339999999999996,0.2,0.0,2.9560000000000004,0.23600000000000002,0.0,,,False,,False,,,True
32,61 Vir,c,61 Vir c,Radial Velocity,0,3,38.021,0.034,-0.034,0.0,0.2175,0.0001,-0.0001,0.0,0.14,0.06,-0.06,0.0,,,,,0.057,0.003,-0.003,0.0,Msini,,,,,,,,,0,0,0,0,13h18m24.32s,199.601318,-18d18m40.3s,-18.311195,8.51,0.02,-0.02,0.0,8.51,0.02,-0.02,0.0,4.74,,0.0,V (Johnson),4.477,,0.0,5577.0,33.0,-33.0,0.0,0.94,0.03,-0.03,0.0,0.96,0.01,-0.01,0.0,2014-05-14,0,,,,,Multiple Observatories,8.96,2.76,-3.08,,3.3339999999999996,0.2,0.0,2.9560000000000004,0.23600000000000002,0.0,,,False,,False,,,True
33,61 Vir,d,61 Vir d,Radial Velocity,0,3,123.01,0.55,-0.55,0.0,0.476,0.001,-0.001,0.0,0.35,0.09,-0.09,0.0,,,,,0.072,0.008,-0.008,0.0,Msini,,,,,,,,,0,0,0,0,13h18m24.32s,199.601318,-18d18m40.3s,-18.311195,8.51,0.02,-0.02,0.0,8.51,0.02,-0.02,0.0,4.74,,0.0,V (Johnson),4.477,,0.0,5577.0,33.0,-33.0,0.0,0.94,0.03,-0.03,0.0,0.96,0.01,-0.01,0.0,2014-05-14,0,,,,,Multiple Observatories,8.96,2.76,-3.08,,3.3339999999999996,0.2,0.0,2.9560000000000004,0.23600000000000002,0.0,,,False,,False,,,True
34,7 CMa,b,7 CMa b,Radial Velocity,0,2,735.1,14.8,-1.0,0.0,1.758,0.024,-0.001,0.0,0.06,0.03,-0.03,0.0,90.0,,,0.0,1.85,0.06,-0.06,0.0,Msin(i)/sin(i),,,,0.0,,,,0.0,0,0,0,0,06h36m41.04s,99.17099,-19d15m21.2s,-19.255878,19.82,0.16,-0.16,0.0,19.82,0.16,-0.16,0.0,3.92,,0.0,V (Johnson),3.5780000000000003,,0.0,4826.0,45.0,-55.0,0.0,1.34,0.11,-0.12,0.0,4.87,0.17,-0.14,0.0,2019-10-24,0,,,,0.0,Anglo-Australian Telescope,4.3,0.9,-1.3,0.0,2.173,0.244,0.0,1.564,0.252,0.0,,,False,,False,,,True
35,7 CMa,c,7 CMa c,Radial Velocity,0,2,996.0,1.5,-52.4,0.0,2.153,0.003,-0.08,0.0,0.08,0.05,-0.04,0.0,90.0,,,0.0,0.87,0.06,-0.06,0.0,Msin(i)/sin(i),,,,0.0,,,,0.0,0,0,0,0,06h36m41.04s,99.17099,-19d15m21.2s,-19.255878,19.82,0.16,-0.16,0.0,19.82,0.16,-0.16,0.0,3.92,,0.0,V (Johnson),3.5780000000000003,,0.0,4826.0,45.0,-55.0,0.0,1.34,0.11,-0.12,0.0,4.87,0.17,-0.14,0.0,2019-10-24,0,,,,0.0,Multiple Observatories,4.3,0.9,-1.3,0.0,2.173,0.244,0.0,1.564,0.252,0.0,,,False,,False,,,True
36,70 Vir,b,70 Vir b,Radial Velocity,0,1,116.688,0.0054,-0.0054,0.0,0.481,0.022,-0.022,0.0,0.3988,0.0019,-0.0019,0.0,,,,0.0,7.416,0.057,-0.057,0.0,Msini,,,,,,,,0.0,0,0,0,0,13h28m25.81s,202.107544,+13d46m43.6s,13.778788,17.91,0.06,-0.06,0.0,17.91,0.06,-0.06,0.0,4.97,,0.0,V (Johnson),4.709,,0.0,5495.0,,,0.0,1.09,,,0.0,1.89,,,0.0,2018-12-06,0,,,,0.0,Lick Observatory,,,,0.0,3.798,0.28600000000000003,0.0,3.5,0.294,0.0,,,False,,False,,,True
37,75 Cet,b,75 Cet b,Radial Velocity,0,1,691.9,3.6,-3.6,0.0,2.1,,,0.0,0.117,0.048,-0.048,0.0,,,,,3.0,,,0.0,Msini,,,,,,,,,0,0,0,0,02h32m09.42s,38.039253,-01d02m05.6s,-1.0348959999999998,83.15,0.72,-0.72,0.0,83.15,0.72,-0.72,0.0,5.35,,0.0,V (Johnson),5.055,,0.0,4846.0,18.0,-18.0,0.0,2.49,0.02,-0.27,0.0,10.5,1.0,-1.0,0.0,2015-09-03,0,,,,,Okayama Astrophysical Observatory,,,,,3.931,0.262,0.0,3.207,0.272,0.0,,,False,,False,,,False
